Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-itsc,branch-le1y,branch-369y,branch-xcm8,randomiser-jf65,branch-asih,quota-t18w,branch-fqz7,branch-ho4r,quota-qptq,branch-rpm3,quota-xbdv,quota-qd5n,quota-bgsj,quota-xwhm,quota-3pu1,quota-rltk,quota-h2u6,quota-a1h7,quota-8mkn,quota-63lu,branch-crxk,branch-elfm,branch-mikh,branch-nctw,branch-zc37,branch-4mwx,branch-j73a,branch-fkxh,branch-lji3,quota-hzw3,branch-mmja,counterbalance-m678,checkpoint-gr3y,checkpoint-3jg6,randomiser-2tba,counterbalance-93ib,counterbalance-9xcr,counterbalance-wbyz,counterbalance-vply,counterbalance-hleo,checkpoint-abe5,branch-e22y,counterbalance-ulkf,branch-t3qc,counterbalance-mcio,counterbalance-3v2j,counterbalance-t9rn,counterbalance-bi4u,counterbalance-8ump,randomiser-kh5p,counterbalance-dozd,counterbalance-wch9,counterbalance-sg3w,counterbalance-o3nf,counterbalance-eu1d,counterbalance-8zsd,counterbalance-u2fx,counterbalance-e4l7,counterbalance-7mrq,counterbalance-s1b5,counterbalance-2v12,counterbalance-g69h,branch-2s1m,order-j7mk,branch-qjxq,checkpoint-27dz,branch-8rrr,branch-5rfv,branch-59ox,branch-njci,branch-di17,branch-gjr2,branch-1dat,branch-drsz,branch-21pl,branch-y4xh,branch-qzep,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,ANSWER,clearval,Metadata,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10,order11,order12,# stim
2,1574426429466,22/11/2019 12:40:29,1574426428720,-5,22/11/2019 07:40:28,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,1,1,1,instructions,advancementZone,continue_keyboard,6012.555000022985,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,
3,1574426437001,22/11/2019 12:40:37,1574426436261,-5,22/11/2019 07:40:36,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,1,1,2,Screen 1,Zone2,response_keyboard_single,7530.044999904931,negative,1,1,0,0,,,,,,instructions,,,,,,,,,,,,,,,,,
4,1574426439172,22/11/2019 12:40:39,1574426438418,-5,22/11/2019 07:40:38,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,1,1,3,Screen 2,Zone2,response_keyboard_single,2142.189999925904,positive,1,1,0,0,,,,,,instructions,,,,,,,,,,,,,,,,,
5,1574426442042,22/11/2019 12:40:42,1574426441307,-5,22/11/2019 07:40:41,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,1,1,4,Screen 4,advancementZone,continue_keyboard,2877.6899999938905,,,0,1,0,,,,,,instructions,,,,,,,,,,,,,,,,,
6,1574426447037,22/11/2019 12:40:47,1574426446296,-5,22/11/2019 07:40:46,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,1,1,5,Screen 3,Zone1,timelimit_screen,4999.221999999998,,,0,1,0,,,1,,,instructions,,,,,,,,,,,,,,,,,
7,1574426448537,22/11/2019 12:40:48,1574426447797,-5,22/11/2019 07:40:47,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,2,1,1,Screen 1,Zone3,timelimit_screen,1499.755000000001,,,0,1,0,,,1,,,fixation,,,,,,,,,,,,,,,,,
8,1574426450224,22/11/2019 12:40:50,1574426449488,-5,22/11/2019 07:40:49,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,9,1,1,stim,advancementZone,response_keyboard,1680.8449999662116,positive,1,0,1,0,,,,2,2,trial,,example,example,EX,,,,,,,,,,,,,neutral guy2.jpg
9,1574426450521,22/11/2019 12:40:50,1574426449779,-5,22/11/2019 07:40:49,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,9,1,1,stim,Zone1,fixation,1983.1800000000003,,,0,1,0,,,,2,2,trial,,example,example,EX,,,,,,,,,,,,,neutral guy2.jpg
10,1574426451474,22/11/2019 12:40:51,1574426450746,-5,22/11/2019 07:40:50,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,8,2,1,stim,advancementZone,response_keyboard,947.5499999243766,positive,1,0,1,0,,,,2,2,trial,,example,example,EX,,,,,,,,,,,,,neutral woman2.jpg
11,1574426452521,22/11/2019 12:40:52,1574426451780,-5,22/11/2019 07:40:51,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,8,2,1,stim,Zone3,timelimit_screen,1999.7520000000004,,,0,1,0,,,1,2,2,trial,,example,example,EX,,,,,,,,,,,,,neutral woman2.jpg
12,1574426453271,22/11/2019 12:40:53,1574426452506,-5,22/11/2019 07:40:52,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,10,3,1,stim,advancementZone,response_keyboard,702.9999999795109,positive,1,0,1,0,,,,2,2,trial,,example,example,EX,,,,,,,,,,,,,neutral guy.jpg
13,1574426454506,22/11/2019 12:40:54,1574426453761,-5,22/11/2019 07:40:53,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,10,3,1,stim,Zone1,fixation,1982.9969999999994,,,0,1,0,,,,2,2,trial,,example,example,EX,,,,,,,,,,,,,neutral guy.jpg
14,1574426455286,22/11/2019 12:40:55,1574426454557,-5,22/11/2019 07:40:54,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,7,4,1,stim,advancementZone,response_keyboard,773.5150000080466,positive,1,0,1,0,,,,2,2,trial,,example,example,EX,,,,,,,,,,,,,neutral woman.jpg
15,1574426456490,22/11/2019 12:40:56,1574426455761,-5,22/11/2019 07:40:55,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,7,4,1,stim,Zone3,timelimit_screen,1999.5279999999984,,,0,1,0,,,1,2,2,trial,,example,example,EX,,,,,,,,,,,,,neutral woman.jpg
16,1574426457709,22/11/2019 12:40:57,1574426456977,-5,22/11/2019 07:40:56,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,6,5,1,stim,advancementZone,response_keyboard,1201.8849999876693,negative,1,0,1,0,,,,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide4.jpeg
17,1574426458537,22/11/2019 12:40:58,1574426457346,-5,22/11/2019 07:40:57,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,6,5,1,stim,advancementZone,response_keyboard,1571.3149999501184,positive,2,0,1,0,,,,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide4.jpeg
18,1574426458693,22/11/2019 12:40:58,1574426457745,-5,22/11/2019 07:40:57,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,6,5,1,stim,Zone1,fixation,1983.421000000002,,,0,1,0,,,,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide4.jpeg
19,1574426459084,22/11/2019 12:40:59,1574426458347,-5,22/11/2019 07:40:58,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,5,6,1,stim,advancementZone,response_keyboard,587.7399999881163,positive,1,0,1,0,,,,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide3.jpeg
20,1574426460492,22/11/2019 12:41:00,1574426459746,-5,22/11/2019 07:40:59,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,5,6,1,stim,Zone3,timelimit_screen,1999.6630000000005,,,0,1,0,,,1,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide3.jpeg
21,1574426461648,22/11/2019 12:41:01,1574426460457,-5,22/11/2019 07:41:00,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,4,7,1,stim,advancementZone,response_keyboard,684.599999920465,positive,1,0,1,0,,,,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide2.jpeg
22,1574426462459,22/11/2019 12:41:02,1574426461727,-5,22/11/2019 07:41:01,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,4,7,1,stim,Zone1,fixation,1982.8759999999966,,,0,1,0,,,,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide2.jpeg
23,1574426463162,22/11/2019 12:41:03,1574426462437,-5,22/11/2019 07:41:02,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,3,8,1,stim,advancementZone,response_keyboard,694.939999957569,positive,1,0,1,0,,,,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide1.jpeg
24,1574426464462,22/11/2019 12:41:04,1574426463727,-5,22/11/2019 07:41:03,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,3,8,1,stim,Zone3,timelimit_screen,1999.8139999999985,,,0,1,0,,,1,1,1,trial,,example,example,EX,,,,,,,,,,,,,Slide1.jpeg
25,1574426465275,22/11/2019 12:41:05,1574426464536,-5,22/11/2019 07:41:04,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,11,9,1,stim,advancementZone,response_keyboard,795.479999971576,positive,1,0,1,0,,,,3,3,trial,,example,example,EX,,,,,,,,,,,,,office chairs.jpg
26,1574426466446,22/11/2019 12:41:06,1574426465709,-5,22/11/2019 07:41:05,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,11,9,1,stim,Zone1,fixation,1982.925000000003,,,0,1,0,,,,3,3,trial,,example,example,EX,,,,,,,,,,,,,office chairs.jpg
27,1574426467150,22/11/2019 12:41:07,1574426466356,-5,22/11/2019 07:41:06,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,13,10,1,stim,advancementZone,response_keyboard,634.6749999793246,positive,1,0,1,0,,,,3,3,trial,,example,example,EX,,,,,,,,,,,,,lawnmower.jpg
28,1574426467338,22/11/2019 12:41:07,1574426466589,-5,22/11/2019 07:41:06,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,13,10,1,stim,advancementZone,response_keyboard,867.9700000211596,positive,2,0,1,0,,,,3,3,trial,,example,example,EX,,,,,,,,,,,,,lawnmower.jpg
29,1574426468451,22/11/2019 12:41:08,1574426467714,-5,22/11/2019 07:41:07,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,13,10,1,stim,Zone3,timelimit_screen,1999.9130000000005,,,0,1,0,,,1,3,3,trial,,example,example,EX,,,,,,,,,,,,,lawnmower.jpg
30,1574426469029,22/11/2019 12:41:09,1574426468280,-5,22/11/2019 07:41:08,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,14,11,1,stim,advancementZone,response_keyboard,549.9400000553578,positive,1,0,1,0,,,,3,3,trial,,example,example,EX,,,,,,,,,,,,,buildings.jpg
31,1574426470435,22/11/2019 12:41:10,1574426469693,-5,22/11/2019 07:41:09,10365,5,task-bx4b,,3395426,AMG800JQZGS2E,958442,,complete,ggjqhj,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.97,1368x912,1368x760,approve with $2.15 bonus,"Valence Bias Task (Practice, Words, Faces, IAPS)",4,words,English_Native,No_Psych,,l_pos,18+,,≥23,≥28,,≥33,,,,,,,,ACCEPT,,,≥38,≥43,≥48,≥53,≥58,≥63,≤67,,,,Responder,,,,,,,,,,,,,Continue,,,,,,Orders 1 and 3,order1,,order3,,,,,,,,,,Continue,ABFCED,Images loaded ok,approve with $2.15 bonus,,,,,,Continue,,,,,,example,14,11,1,stim,Zone1,fixation,1983.4259999999995,,,0,1,0,,,,3,3,trial,,example,example,EX,,,,,,,,,,,,,buildings.jpg
